,01.Well Identifier,02.Well Core Analysis Number,03.Well Core No,04.Core Interval Top,05.Core Interval Base,06.Core Recovered
0,00/05-21-077-23W5/0,86408,1,2452.0,2460.0,8.0
1,00/06-13-075-18W5/0,32773,1,2287.8,2304.3,16.5
2,00/06-13-075-18W5/0,32773,2,2320.0,2333.0,13.0
3,00/01-06-081-09W5/0,73894,1,1684.0,1694.0,10.0
4,00/05-34-080-09W5/0,28864,2,1692.0,1705.7,13.7
5,00/05-34-080-09W5/0,28864,3,1741.0,1747.0,6.0
6,00/04-09-079-10W5/0,50434,1,1765.4,1783.55,17.5
7,00/04-28-081-08W5/0,20105,1,1637.39,1655.67,18.28
8,00/04-28-081-08W5/0,20105,2,1655.67,1661.77,6.1
9,00/04-28-081-08W5/0,20105,3,1661.77,1673.35,11.58
10,00/04-28-081-08W5/0,20105,4,1741.02,1749.55,8.53
11,00/06-14-080-09W5/0,71951,1,1720.0,1735.0,12.0
12,00/10-27-080-09W5/0,21950,1,1687.68,1701.7,14.02
13,00/06-06-081-08W5/0,28827,1,1745.0,1759.5,14.5
14,00/03-15-080-09W5/0,71205,1,1717.0,1735.0,16.35
15,00/10-30-080-09W5/0,73701,1,1705.0,1709.5,4.4
16,00/09-25-081-09W5/0,74556,1,1718.0,1729.0,10.9
17,00/07-30-080-09W5/0,63803,1,1712.0,1725.0,12.0
18,00/06-16-080-09W5/0,58622,1,1726.0,1728.0,0.9
19,00/02-20-081-08W5/0,65464,1,1738.0,1750.0,11.75
20,00/06-30-080-09W5/0,54137,1,1713.0,1719.4,6.4
21,00/02-20-079-07W5/0,31235,1,1686.0,1696.0,10.0
22,00/02-34-078-08W5/0,30035,1,1722.0,1734.0,12.0
23,00/02-34-078-08W5/0,30035,2,1734.0,1743.0,9.0
24,00/04-21-081-08W5/0,20262,1,1657.5,1675.79,18.29
25,00/04-21-081-08W5/0,20262,2,1740.41,1758.7,18.29
26,00/02-08-079-07W5/0,34006,1,1688.8,1707.0,18.2
27,00/02-22-081-08W5/0,7114,1,1653.54,1671.8,18.26
28,00/02-22-081-08W5/0,7114,2,1671.8,1675.49,3.69
29,00/08-09-073-21W5/0,64763,1,2668.0,2678.5,8.75
30,00/08-09-073-21W5/0,64763,2,2678.5,2687.0,8.5
31,00/10-31-080-08W5/0,7095,1,1683.72,1697.74,14.02
32,00/10-08-080-07W5/0,67285,1,1672.5,1686.5,14.0
33,00/02-30-080-08W5/0,7096,1,1697.74,1709.01,11.27
34,00/02-30-080-08W5/0,7096,2,1709.32,1718.46,9.14
35,00/04-26-080-08W5/0,7135,1,1685.54,1694.08,8.54
36,00/04-26-080-08W5/0,7135,2,1694.08,1695.6,1.52
37,00/04-26-080-08W5/0,7135,3,1695.6,1699.66,4.06
38,00/04-26-080-08W5/0,7135,4,1699.66,1702.61,2.95
39,00/10-16-081-08W5/0,67713,1,1667.0,1685.0,18.0
40,00/04-08-080-07W5/0,31238,1,1685.25,1698.0,12.75
41,00/10-25-080-09W5/0,7125,2,1782.47,1795.27,12.8
42,00/10-25-080-09W5/0,7126,1,1700.78,1726.39,25.61
43,00/02-17-080-07W5/0,71544,1,1676.2,1679.8,3.0
44,00/02-17-080-07W5/0,71544,2,1679.8,1692.0,11.4
45,00/06-08-078-08W5/0,27992,1,1768.0,1786.0,18.0
