,01.Well Identifier,02.Well Core Analysis Number (Well Core Analysis Line),03.Well Core Analysis Core Number,04.Well Line Interval Depth,05.Well Line Code,06.Well Line Interval Length,07.Well Line Porosity,08.Well Line KMAX,09.Well Line KVERT,10.Well Line K90,11.Well Line Grain Density,12.Well Line Pore Volume Oil,13.Well Line Pore Volume Water,14.Well Line Bulk Density,15.Well Line Lithology
0,00/05-21-077-23W5/0,86408,1,2452.0,,2.06,,,,,,,,,ls:ss
1,00/05-21-077-23W5/0,86408,1,2455.5,,1.3,,,,,,,,,sh:ss
2,00/05-21-077-23W5/0,86408,1,2458.8,,1.2,,,,,,,,,ss:sh
3,00/05-21-077-23W5/0,86408,1,2454.84,FD,0.16,0.065,6.17,,,2620.0,0.083,0.07,2450.0,BEAVERHILL LAKE
4,00/05-21-077-23W5/0,86408,1,2454.61,FD,0.07,0.068,1.59,,,2630.0,0.07,0.036,2450.0,BEAVERHILL LAKE
5,00/05-21-077-23W5/0,86408,1,2454.06,FD,0.25,0.06,0.15,,,2640.0,0.029,0.412,2480.0,BEAVERHILL LAKE
6,00/05-21-077-23W5/0,86408,1,2454.68,FD,0.16,0.053,0.69,,,2630.0,0.072,0.122,2490.0,BEAVERHILL LAKE
7,00/05-21-077-23W5/0,86408,1,2454.44,FD,0.17,0.049,0.38,,,2630.0,0.086,0.204,2500.0,BEAVERHILL LAKE
8,00/05-21-077-23W5/0,86408,1,2458.2,FD,0.15,0.059,0.13,,,2670.0,0.064,0.182,2520.0,BEAVERHILL LAKE
9,00/05-21-077-23W5/0,86408,1,2458.66,FD,0.14,0.048,0.09,,,2670.0,0.08,0.116,2540.0,BEAVERHILL LAKE
10,00/05-21-077-23W5/0,86408,1,2455.0,FD,0.14,0.034,0.19,,,2640.0,0.071,0.07,2550.0,BEAVERHILL LAKE
11,00/05-21-077-23W5/0,86408,1,2454.31,FD,0.13,0.038,0.11,,,2650.0,0.055,0.158,2550.0,BEAVERHILL LAKE
12,00/05-21-077-23W5/0,86408,1,2456.8,FD,1.22,0.056,0.05,,,2700.0,0.02,0.252,2550.0,BEAVERHILL LAKE
13,00/05-21-077-23W5/0,86408,1,2458.35,FD,0.15,0.042,0.04,,,2690.0,0.07,0.157,2570.0,BEAVERHILL LAKE
14,00/05-21-077-23W5/0,86408,1,2458.02,FD,0.18,0.045,0.03,,,2720.0,0.02,0.12,2600.0,BEAVERHILL LAKE
15,00/05-21-077-23W5/0,86408,1,2455.14,FD,0.36,0.015,0.04,,,2660.0,,0.07,2610.0,BEAVERHILL LAKE
16,00/05-21-077-23W5/0,86408,1,2458.5,FD,0.16,0.035,0.02,,,2700.0,0.085,0.164,2610.0,BEAVERHILL LAKE
17,00/06-13-075-18W5/0,32773,1,2287.8,DE,13.6,,,,,,,,,NOT ANALYSED - SHALE
18,00/06-13-075-18W5/0,32773,1,2301.4,LC,2.9,,,,,,,,,LOST CORE
19,00/06-13-075-18W5/0,32773,2,2321.05,DE,3.3,,,,,,,,,NOT ANALYSED - SHALE
20,00/06-13-075-18W5/0,32773,2,2324.5,DE,1.4,,,,,,,,,NOT ANALYSED - SHALE
21,00/06-13-075-18W5/0,32773,2,2326.65,DE,0.85,,,,,,,,,NOT ANALYSED - SHALE
22,00/06-13-075-18W5/0,32773,2,2328.0,DE,1.65,,,,,,,,,NOT ANALYSED - SHALE
23,00/06-13-075-18W5/0,32773,2,2325.9,FD,0.2,0.054,0.63,0.11,0.63,2630.0,,,,SS  F
24,00/06-13-075-18W5/0,32773,2,2329.9,FD,0.3,0.075,16.0,0.36,7.3,2630.0,,,,SS  F
25,00/06-13-075-18W5/0,32773,2,2330.2,FD,0.3,0.162,207.0,14.0,179.0,2640.0,,,,SS  F
26,00/06-13-075-18W5/0,32773,2,2320.85,FD,0.2,0.072,9.8,7.9,9.8,2660.0,,,,SS  F
27,00/06-13-075-18W5/0,32773,2,2324.35,FD,0.15,0.001,0.05,0.01,0.05,2660.0,,,,SS  F
28,00/06-13-075-18W5/0,32773,2,2330.5,FD,0.1,0.109,99.0,0.32,78.0,2660.0,,,,SS  F
29,00/06-13-075-18W5/0,32773,2,2320.5,FD,0.2,0.051,17.0,3.2,14.0,2670.0,,,,SS  F
30,00/06-13-075-18W5/0,32773,2,2320.7,FD,0.15,0.051,13.0,1.3,8.8,2680.0,,,,SS  F
31,00/06-13-075-18W5/0,32773,2,2330.6,LC,2.4,,,,,,,,,LOST CORE
32,00/06-13-075-18W5/0,32773,2,2320.0,SS,0.15,0.088,0.79,,,,,,,SS  F
33,00/06-13-075-18W5/0,32773,2,2320.15,SS,0.35,0.103,0.92,,,,,,,SS  F
34,00/06-13-075-18W5/0,32773,2,2326.1,SS,0.15,0.131,4.4,,,,,,,SS  F
35,00/06-13-075-18W5/0,32773,2,2326.25,SS,0.4,0.067,2.6,,,,,,,SS  F
36,00/06-13-075-18W5/0,32773,2,2327.5,SS,0.15,0.104,0.39,,,,,,,SS  F
37,00/06-13-075-18W5/0,32773,2,2327.65,SS,0.35,0.136,72.0,,,,,,,SS  F
38,00/06-13-075-18W5/0,32773,2,2329.65,SS,0.25,0.141,62.0,,,,,,,SS  F
39,00/01-06-081-09W5/0,73894,1,1684.0,,5.62,,,,,,,,,ANHY SH SS
40,00/01-06-081-09W5/0,73894,1,1691.22,,0.04,,,,,,,,,SS SH
41,00/01-06-081-09W5/0,73894,1,1692.09,,1.91,,,,,,,,,SH ANHY
42,00/01-06-081-09W5/0,73894,1,1690.6,SS,0.09,0.235,144.0,,,2640.0,0.141,0.412,2020.0,SS VF-MGR ARG FRAC
43,00/01-06-081-09W5/0,73894,1,1691.04,SS,0.18,0.227,60.9,,,2650.0,0.143,0.346,2050.0,SS VF-MGR ARG
44,00/01-06-081-09W5/0,73894,1,1690.94,SS,0.1,0.218,84.3,,,2640.0,0.09,0.328,2070.0,SS VF-MGR ARG
45,00/01-06-081-09W5/0,73894,1,1691.26,SS,0.12,0.162,59.9,,,2670.0,0.137,0.25,2240.0,SS VF-MGR ARG CALC
46,00/01-06-081-09W5/0,73894,1,1691.38,SS,0.11,0.158,66.1,,,2670.0,0.151,0.277,2250.0,SS VF-MGR ARG CALC
47,00/01-06-081-09W5/0,73894,1,1689.62,SS,0.25,0.16,3.67,,,2690.0,0.047,0.534,2260.0,SS VF-MGR ARG CALC PYR
