,Formatted UWI,Gas Anal Doc Source,Gas Analysis Quality,Gas Sample Date,Gas Sample Point,Intrvl Base,Intrvl Top,Reserv Fluid Crit Pressure,Reserv Fluid Crit Temp,Reserv Gas Rel Dens,Sep Gas Liq Ratio,Sep Liq Molar Mass,Sep Liq Rel Dens
0,00/06-20-078-23W5/0,AOFP/Pressure File,Unknown,10/2/1990 00:00:00,Wellhead,1163.0,1158.0,4528.0,196.6,0.62,,,
1,00/06-20-078-23W5/0,Electronic,Unknown,3/12/1999 00:00:00,Reservoir Fluid Other,1162.6,1159.6,4525.0,195.7,0.616,6.0,,
2,00/06-20-078-23W5/0,Electronic,Unknown,8/23/1999 00:00:00,Gas/Liquid Other,1162.6,1159.6,4527.0,196.3,0.617,,94.5,0.715
3,00/06-20-078-23W5/0,Fluid Analyses Microfiche,Unknown,6/15/1985 00:00:00,Other,1168.0,1150.0,4550.94,200.6,0.616,,,
4,00/06-20-078-23W5/0,Fluid Analyses Microfiche,Unknown,6/16/1985 00:00:00,Other,1127.0,1109.0,4548.11,196.8,0.615,,,
5,00/06-20-078-23W5/0,Fluid Analyses Microfiche,Unknown,6/16/1985 00:00:00,Other,1187.0,1169.0,4570.96,198.2,0.599,,,
6,00/06-20-078-23W5/0,Fluid Analyses Microfiche,Unknown,6/17/1985 00:00:00,Other,1233.0,1208.0,4483.82,195.8,0.632,,,
7,00/06-20-078-23W5/0,Fluid Analyses Microfiche,Unknown,6/20/1985 00:00:00,Other,912.0,900.0,4630.81,191.8,0.564,,,
8,00/06-20-078-23W5/0,Fluid Analyses Microfiche,Unknown,6/21/1985 00:00:00,Other,1919.0,1887.0,4297.72,193.6,0.729,,,
9,00/06-20-078-23W5/0,Fluid Analyses Microfiche,Unknown,7/26/1990 00:00:00,Other,1162.4,1154.6,4523.11,196.9,0.624,,,
10,00/06-20-078-23W5/0,Fluid Analyses Microfiche,Unknown,7/27/1990 00:00:00,Other,1162.4,1154.6,4516.89,195.7,0.623,,,
11,00/07-09-076-18W5/0,Fluid Analyses Microfiche,Unknown,2/24/1982 00:00:00,Other,971.7,935.0,4582.71,192.6,0.574,,,
