,Formatted UWI,Gas Sample Date,Intrvl Base,Intrvl Top,Sep Liq C1c,Sep Liq C2c,Sep Liq C3c,Sep Liq C6c,Sep Liq C7+c,Sep Liq CO2c,Sep Liq H2c,Sep Liq H2Sc,Sep Liq HEc,Sep Liq IC4c,Sep Liq IC5c,Sep Liq N2c,Sep Liq NC4c,Sep Liq NC5c
0,00/06-20-078-23W5/0,6/15/1985 00:00:00,1168.0,1150.0,,,,,,,,,,,,,,
1,00/06-20-078-23W5/0,6/16/1985 00:00:00,1127.0,1109.0,,,,,,,,,,,,,,
2,00/06-20-078-23W5/0,6/16/1985 00:00:00,1187.0,1169.0,,,,,,,,,,,,,,
3,00/06-20-078-23W5/0,6/17/1985 00:00:00,1233.0,1208.0,,,,,,,,,,,,,,
4,00/06-20-078-23W5/0,6/20/1985 00:00:00,912.0,900.0,,,,,,,,,,,,,,
5,00/06-20-078-23W5/0,6/21/1985 00:00:00,1919.0,1887.0,,,,,,,,,,,,,,
6,00/06-20-078-23W5/0,7/26/1990 00:00:00,1162.4,1154.6,,,,,,,,,,,,,,
7,00/06-20-078-23W5/0,7/27/1990 00:00:00,1162.4,1154.6,,,,,,,,,,,,,,
8,00/06-20-078-23W5/0,10/2/1990 00:00:00,1163.0,1158.0,,,,,,,,,,,,,,
9,00/06-20-078-23W5/0,3/12/1999 00:00:00,1162.6,1159.6,,,,,,,,,,,,,,
10,00/06-20-078-23W5/0,8/23/1999 00:00:00,1162.6,1159.6,9.65,2.3,3.64,10.02,61.73,0.01,,,,1.54,3.12,0.05,4.03,3.91
11,00/07-09-076-18W5/0,2/24/1982 00:00:00,971.7,935.0,,,,,,,,,,,,,,
12,00/09-33-080-09W5/0,3/16/1986 00:00:00,1701.5,1693.0,,,,,,,,,,,,,,
13,00/10-14-081-09W5/0,7/27/1977 00:00:00,1784.6,1747.4,,,,,,,,,,,,,,
14,00/10-14-081-09W5/0,8/2/1977 00:00:00,649.22,643.13,,,,,,,,,,,,,,
15,00/10-14-081-09W5/0,8/12/1977 00:00:00,1747.38,1747.38,,,,,,,,,,,,,,
16,00/03-15-080-09W5/0,11/6/1989 00:00:00,1731.0,1715.0,,,,,,,,,,,,,,
17,00/03-15-080-09W5/0,1/13/1990 00:00:00,1721.5,1717.3,,,,,,,,,,,,,,
18,00/03-15-080-09W5/0,7/22/1999 00:00:00,1721.5,1717.3,,,,,,,,,,,,,,
19,00/10-30-080-09W5/0,1/14/1992 00:00:00,1701.0,1691.0,,,,,,,,,,,,,,
20,00/09-25-081-09W5/0,1/31/1993 00:00:00,1730.0,1725.5,,,,,,,,,,,,,,
21,00/14-03-070-21W5/0,2/27/1984 00:00:00,1322.0,1309.0,,,,,,,,,,,,,,
22,00/14-03-070-21W5/0,2/28/1984 00:00:00,1428.5,1412.0,,,,,,,,,,,,,,
23,00/02-20-081-08W5/0,7/21/1987 00:00:00,1747.0,1734.0,,,,,,,,,,,,,,
24,00/02-20-081-08W5/0,7/22/1987 00:00:00,1673.0,1655.0,,,,,,,,,,,,,,
25,00/02-20-081-08W5/0,7/23/1987 00:00:00,1673.0,1653.0,,,,,,,,,,,,,,
26,00/06-30-080-09W5/0,3/24/1985 00:00:00,1727.0,1715.0,,,,,,,,,,,,,,
27,00/06-30-080-09W5/0,6/11/1985 00:00:00,1722.0,1720.0,,,,,,,,,,,,,,
28,00/02-20-079-07W5/0,3/10/1981 00:00:00,589.0,566.0,,,,,,,,,,,,,,
29,00/04-21-081-08W5/0,7/20/1967 00:00:00,1758.7,1738.88,,,,,,,,,,,,,,
30,00/10-08-080-07W5/0,3/3/1988 00:00:00,1690.0,1672.0,,,,,,,,,,,,,,
31,00/10-08-080-07W5/0,5/19/2000 00:00:00,1680.0,1677.5,0.55,1.57,5.16,6.45,71.58,0.01,,,,1.78,2.92,0.02,6.04,3.92
32,00/12-30-078-07W5/0,12/16/1984 00:00:00,1724.0,1718.0,,,,,,,,,,,,,,
33,00/04-14-078-08W5/0,9/23/2004 00:00:00,1745.0,1741.3,2.02,4.57,7.84,7.13,60.97,0.05,0.0,0.0,0.0,2.26,3.35,0.02,7.08,4.71
34,00/15-25-077-08W5/0,4/21/2018 00:00:00,1778.0,1769.0,,,,,,,,,,,,,,
35,00/15-25-077-08W5/0,7/26/2018 00:00:00,1778.0,1769.0,,,,,,,,,,,,,,
