,01.Well Identifier,02.Formation,03.Formation Depth,04.Description,04.Quality1
0,00/07-25-076-23W5/0,2380 HARMON MBR,538.07,Top of Unit,Good Log
1,00/07-25-076-23W5/0,2640 SPIRIT RIVER FM,558.68,Top of Unit,Good Log
2,00/07-25-076-23W5/0,3040 BLUESKY FM,882.85,Top of Unit,Good Log
3,00/07-25-076-23W5/0,3260 GETHING FM,895.38,Top of Unit,Good Log
4,00/07-25-076-23W5/0,4140 FERNIE GRP,929.51,Top of Unit,Good Log
5,00/07-25-076-23W5/0,4440 NORDEGG MBR,971.39,Top of Unit,Good Log
6,00/07-25-076-23W5/0,5240 MONTNEY FM,1017.06,Top of Unit,Good Log
7,00/07-25-076-23W5/0,5560 BELLOY FM,1100.27,Top of Unit,Good Log
8,00/07-25-076-23W5/0,6080 GOLATA FM,1114.3,Top of Unit,Good Log
9,00/07-25-076-23W5/0,6120 DEBOLT FM,1162.44,Top of Unit,Good Log
10,00/07-25-076-23W5/0,6380 ELKTON MBR,1393.59,Top of Unit,Good Log
11,00/07-25-076-23W5/0,6400 SHUNDA FM,1402.06,Top of Unit,Good Log
12,00/07-25-076-23W5/0,6420 PEKISKO FM,1525.17,Top of Unit,Good Log
13,00/07-25-076-23W5/0,6440 BANFF FM,1588.69,Top of Unit,Good Log
14,00/07-25-076-23W5/0,6480 EXSHAW FM,1838.06,Top of Unit,Good Log
15,00/07-25-076-23W5/0,6580 WABAMUN GRP,1840.95,Top of Unit,Good Log
16,00/07-25-076-23W5/0,6700 WINTERBURN GRP,2091.15,Top of Unit,Good Log
17,00/07-25-076-23W5/0,6860 CALMAR FM,2155.21,Top of Unit,Good Log
18,00/07-25-076-23W5/0,6960 NISKU FM,2158.47,Top of Unit,Good Log
19,00/07-25-076-23W5/0,7100 IRETON FM,2222.85,Top of Unit,Good Log
20,00/07-25-076-23W5/0,7580 SLAVE POINT FM,2474.71,Top of Unit,Good Log
21,00/07-25-076-23W5/0,7975 GRANITE WASH,2497.49,Top of Unit,Good Log
22,00/07-25-076-23W5/0,7990 PRECAMBRIAN SYSTEM,2530.14,Top of Unit,Good Log
23,00/06-20-078-23W5/0,2280 PEACE RIVER FM,437.0,Top of Unit,Good Log
24,00/06-20-078-23W5/0,2380 HARMON MBR,471.0,Top of Unit,Good Log
25,00/06-20-078-23W5/0,2640 SPIRIT RIVER FM,489.0,Top of Unit,Good Log
26,00/06-20-078-23W5/0,3040 BLUESKY FM,825.0,Top of Unit,Good Log
27,00/06-20-078-23W5/0,3260 GETHING FM,840.0,Top of Unit,Good Log
28,00/06-20-078-23W5/0,4140 FERNIE GRP,902.0,Top of Unit,Good Log
29,00/06-20-078-23W5/0,4440 NORDEGG MBR,910.2,Top of Unit,Good Log
30,00/06-20-078-23W5/0,5240 MONTNEY FM,950.0,Top of Unit,Good Log
31,00/06-20-078-23W5/0,5560 BELLOY FM,1043.0,Top of Unit,Good Log
32,00/06-20-078-23W5/0,6080 GOLATA FM,1072.0,Top of Unit,Good Log
33,00/06-20-078-23W5/0,6120 DEBOLT FM,1091.8,Top of Unit,Good Log
34,00/06-20-078-23W5/0,6400 SHUNDA FM,1349.0,Top of Unit,Good Log
35,00/06-20-078-23W5/0,6420 PEKISKO FM,1488.0,Top of Unit,Good Log
36,00/06-20-078-23W5/0,6440 BANFF FM,1544.0,Top of Unit,Good Log
37,00/06-20-078-23W5/0,6480 EXSHAW FM,1801.0,Top of Unit,Good Log
38,00/06-20-078-23W5/0,6580 WABAMUN GRP,1804.0,Top of Unit,Good Log
39,00/06-20-078-23W5/0,6700 WINTERBURN GRP,2067.0,Top of Unit,Good Log
40,00/06-20-078-23W5/0,7100 IRETON FM,2166.0,Top of Unit,Good Log
41,00/06-20-078-23W5/0,7440 BEAVERHILL LAKE GRP,2319.8,Top of Unit,Good Log
42,00/06-20-078-23W5/0,7975 GRANITE WASH,2399.0,Top of Unit,Good Log
43,00/06-13-075-18W5/0,2060 BASE FISH SCALES MARKER,453.5,Top of Unit,Good Log
44,00/06-13-075-18W5/0,2280 PEACE RIVER FM,515.0,Top of Unit,Good Log
45,00/06-13-075-18W5/0,2380 HARMON MBR,539.5,Top of Unit,Good Log
46,00/06-13-075-18W5/0,2640 SPIRIT RIVER FM,565.0,Top of Unit,Good Log
47,00/06-13-075-18W5/0,3260 GETHING FM,857.0,Top of Unit,Good Log
48,00/06-13-075-18W5/0,4140 FERNIE GRP,919.0,Top of Unit,Questionable Log
49,00/06-13-075-18W5/0,4440 NORDEGG MBR,921.5,Top of Unit,Good Log
50,00/06-13-075-18W5/0,5560 BELLOY FM,952.0,Top of Unit,Good Log
51,00/06-13-075-18W5/0,6120 DEBOLT FM,995.0,Top of Unit,Good Log
52,00/06-13-075-18W5/0,6380 ELKTON MBR,1128.0,Top of Unit,Good Log
53,00/06-13-075-18W5/0,6400 SHUNDA FM,1133.0,Top of Unit,Good Log
54,00/06-13-075-18W5/0,6420 PEKISKO FM,1250.5,Top of Unit,Good Log
55,00/06-13-075-18W5/0,6440 BANFF FM,1306.0,Top of Unit,Good Log
56,00/06-13-075-18W5/0,6480 EXSHAW FM,1551.5,Top of Unit,Good Log
57,00/06-13-075-18W5/0,6580 WABAMUN GRP,1555.0,Top of Unit,Good Log
58,00/06-13-075-18W5/0,6700 WINTERBURN GRP,1812.5,Top of Unit,Good Log
59,00/06-13-075-18W5/0,7100 IRETON FM,1928.5,Top of Unit,Good Log
60,00/06-13-075-18W5/0,7280 DUVERNAY FM,2186.0,Top of Unit,Questionable Log
61,00/06-13-075-18W5/0,7440 BEAVERHILL LAKE GRP,2211.0,Top of Unit,Good Log
62,00/06-13-075-18W5/0,7580 SLAVE POINT FM,2294.0,Top of Unit,Good Log
63,00/06-13-075-18W5/0,7601 FORT VERMILION MBR,2313.5,Top of Unit,Good Log
64,00/06-13-075-18W5/0,7655 GILWOOD MBR,2321.0,Top of Unit,Good Log
65,00/06-13-075-18W5/0,7685 MUSKEG FM,2324.0,Top of Unit,Good Log
66,00/06-13-075-18W5/0,7975 GRANITE WASH,2333.0,Top of Unit,Good Log
67,00/06-13-075-18W5/0,7990 PRECAMBRIAN SYSTEM,2390.0,Top of Unit,Good Log
68,00/07-09-076-18W5/0,2060 BASE FISH SCALES MARKER,418.5,Top of Unit,Good Log
69,00/07-09-076-18W5/0,2280 PEACE RIVER FM,491.0,Top of Unit,Good Log
70,00/07-09-076-18W5/0,2380 HARMON MBR,511.0,Top of Unit,Good Log
71,00/07-09-076-18W5/0,2640 SPIRIT RIVER FM,543.0,Top of Unit,Good Log
72,00/07-09-076-18W5/0,3260 GETHING FM,844.5,Top of Unit,Good Log
73,00/07-09-076-18W5/0,4140 FERNIE GRP,889.0,Top of Unit,Good Log
74,00/07-09-076-18W5/0,4440 NORDEGG MBR,910.0,Top of Unit,Good Log
75,00/07-09-076-18W5/0,5000 TRIASSIC SYSTEM,938.0,Top of Unit,Questionable Log
