,01.Well Identifier,02.Well Confidential Type,03.Well Name,04.Drilling Contractor BA Id,05.Drill Rig No,06.AER Classification,07.Spud Date,08.Final Drill Date,09.Rig Release Date,10.Plugback Depth,11.Kelly Bushing Elevation,12.Final Total Depth,13.Max True Vertical Depth
0,00/07-25-076-23W5/0,Non Confidential,GUIDEX GVILLEE 7-25-76-23,0Y52,320.0,New Pool Wildcat,2/20/2003 00:00:00,05-Mar-2003,3/13/2003 00:00:00,,555.7,2545.0,
1,00/06-20-078-23W5/0,Non Confidential,LONG RUN CULP 6-20-78-23,0X47,6.0,New Pool Wildcat IEW,5/31/1985 00:00:00,27-Jun-1985,7/4/1985 00:00:00,1988.0,560.9,2430.0,0.0
2,00/05-21-077-23W5/0,Non Confidential,GUIDEX GVILLEE 5-21-77-23,0Y07,33.0,New Pool Wildcat,5/21/2000 00:00:00,05-Jun-2000,6/10/2000 00:00:00,,558.4,2515.0,
3,00/06-13-075-18W5/0,Non Confidential,GULF POC AEC IROQUOIS 6-13-75-18,,,New Fld Wildcat IEW,1/10/1982 00:00:00,09-Feb-1982,,0.0,631.4,2411.0,0.0
4,00/07-09-076-18W5/0,Non Confidential,GULF POC AEC IROQUOIS 7-9-76-18,,,New Fld Wildcat IEW,2/18/1982 00:00:00,12-Mar-1982,,0.0,627.0,2407.0,0.0
5,00/11-04-074-21W5/0,Non Confidential,TERRAQUEST ET AL MCLEANSC 11-4-74-21,0X47,11.0,New Pool Wildcat,12/10/2002 00:00:00,21-Dec-2002,12/24/2002 00:00:00,0.0,638.7,2640.0,0.0
6,00/07-19-061-01W5/0,Non Confidential,ANDERSON ESSO WESTLOCK 7-19-61-1,,,Outpost IEW,12/6/1979 00:00:00,27-Dec-1979,,0.0,640.2,2250.0,0.0
7,00/15-32-080-09W5/0,Non Confidential,BLUESKY FLAME NIPISI 15-32-80-9,878,24.0,Development,2/2/1985 00:00:00,12-Feb-1985,2/15/1985 00:00:00,0.0,642.8,1755.0,0.0
8,00/10-21-070-26W5/0,Non Confidential,GULF AEC LIGNITE 10-21-70-26,0Y45,4.0,Development,12/15/1985 00:00:00,10-Jan-1986,1/14/1986 00:00:00,0.0,638.5,3195.0,0.0
9,00/09-33-080-09W5/0,Non Confidential,SUMMERLAND NIPISI 9-33-80-9,0Y51,2.0,Development,2/25/1986 00:00:00,13-Mar-1986,3/18/1986 00:00:00,,645.1,1805.0,
10,00/01-06-081-09W5/0,Non Confidential,BSRL NIPISI 1-6-81-9,0ZB7,12.0,Development,2/3/1992 00:00:00,12-Feb-1992,2/15/1992 00:00:00,0.0,645.6,1745.0,0.0
11,00/10-14-081-09W5/0,Non Confidential,SUMMERLAND NIPISI 10-14-81-9,,,Development,7/27/1977 00:00:00,10-Aug-1977,,1057.7,646.8,1784.6,0.0
12,00/05-34-080-09W5/0,Non Confidential,SUMMERLAND NIPISI 5-34-80-9,,,Development,7/26/1979 00:00:00,15-Aug-1979,,,647.9,1800.0,
13,00/04-09-079-10W5/0,Non Confidential,DOME ET AL GIFT 4-9-79-10,0Y27,10.0,Development,3/24/1984 00:00:00,05-Apr-1984,,0.0,648.0,1865.0,0.0
14,00/04-17-080-09W5/0,Non Confidential,ARCO NIPISI 4-17-80-9,,,Development,11/17/1969 00:00:00,02-Dec-1969,,,649.5,1768.1,1739.05
15,00/04-28-081-08W5/0,Non Confidential,ARCO NIPISI 4-28-81-8,,,Development,6/27/1967 00:00:00,12-Jul-1967,,0.0,649.5,1809.3,0.0
16,00/06-14-080-09W5/0,Non Confidential,LASMO OPINAC NIPISI 6-14-80-9,0Y27,5.0,Development,3/27/1990 00:00:00,07-Apr-1990,4/11/1990 00:00:00,0.0,649.9,1770.0,0.0
17,00/10-27-080-09W5/0,Non Confidential,AMOCO J-11 NIPISI 10-27-80-9,,,Development,12/10/1969 00:00:00,21-Dec-1969,,0.0,650.1,1722.1,0.0
18,00/01-12-060-21W4/0,Non Confidential,ANDERSON ET AL THORHILD 1-12-60-21,,,New Pool Wildcat IEW,11/3/1980 00:00:00,13-Nov-1980,,0.0,651.6,1492.0,1491.95
19,00/06-06-081-08W5/0,Non Confidential,PETROMK BLUESKY NIPISI 6-6-81-8,,,Development,10/24/1979 00:00:00,14-Nov-1979,,0.0,651.1,1785.0,0.0
20,00/03-15-080-09W5/0,Non Confidential,ELAN ET AL NIPISI 3-15-80-9,0Z04,3.0,Development,10/23/1989 00:00:00,02-Nov-1989,11/8/1989 00:00:00,0.0,651.2,1816.0,0.0
21,00/10-30-080-09W5/0,Non Confidential,BSRL NIPISI 10-30-80-9,0ZB7,12.0,Development,1/4/1992 00:00:00,12-Jan-1992,1/16/1992 00:00:00,0.0,651.4,1720.0,0.0
22,00/09-25-081-09W5/0,Non Confidential,BSRL NIPISI 9-25-81-9,0ZD6,28.0,Development,1/19/1993 00:00:00,29-Jan-1993,2/2/1993 00:00:00,0.0,651.9,1767.0,
23,00/07-30-080-09W5/0,Non Confidential,COGI NIPISI 7-30-80-9,0Y78,5.0,Development,9/21/1986 00:00:00,05-Oct-1986,10/8/1986 00:00:00,0.0,652.2,1776.0,0.0
24,00/14-03-070-21W5/0,Non Confidential,HUSKY ET AL VALLEYVIEW 14-3-70-21,878,28.0,New Fld Wildcat IEW,1/26/1984 00:00:00,22-Feb-1984,,0.0,650.4,2835.0,0.0
25,00/06-16-080-09W5/0,Non Confidential,LASMO ET AL NIPISI 6-16-80-9,0Y27,5.0,Development,3/1/1985 00:00:00,13-Mar-1985,3/16/1985 00:00:00,0.0,653.0,1810.0,0.0
26,00/02-20-081-08W5/0,Non Confidential,BSRL NIPISI 2-20-81-8,0Y78,5.0,Development,7/2/1987 00:00:00,20-Jul-1987,7/26/1987 00:00:00,,653.4,1790.0,
27,00/06-30-080-09W5/0,Non Confidential,COGI NIPISI 6-30-80-9,0X86,10.0,Deeper Pool Test,3/10/1985 00:00:00,22-Mar-1985,3/27/1985 00:00:00,,655.8,1761.0,1760.62
28,00/03-30-080-09W5/0,Non Confidential,CO-ENERCO ARCO NIPISI 3-30-80-9,,,Development,7/11/1970 00:00:00,24-Jul-1970,,0.0,655.0,1752.6,0.0
29,00/02-20-079-07W5/0,Non Confidential,WINCAN ET AL NIPISI 2-20-79-7,0Y52,3.0,Development,2/18/1981 00:00:00,08-Mar-1981,,0.0,656.1,1710.0,0.0
30,00/02-34-078-08W5/0,Non Confidential,AMOCO UNIT 214 NIPISI 2-34-78-8,,,Development,5/24/1980 00:00:00,05-Jun-1980,,0.0,655.6,1753.0,0.0
31,00/04-21-081-08W5/0,Non Confidential,BSRL NIPISI 4-21-81-8,,,Development,7/7/1967 00:00:00,21-Jul-1967,,0.0,658.4,1770.0,
32,00/02-08-079-07W5/0,Non Confidential,Aquisition Oil NIPISI 2-8-79-7,0Z45,1.0,Development,11/22/1982 00:00:00,07-Dec-1982,,0.0,659.0,1734.0,0.0
33,00/02-22-081-08W5/0,Non Confidential,PACIFIC ET AL UTIKUMA 2-22-81-8,,,Development,12/25/1965 00:00:00,19-Jan-1966,,0.0,659.0,1784.6,0.0
34,00/16-07-078-08W5/0,Non Confidential,KELES ET AL NIPISI 16-7-78-8,0Y27,5.0,New Pool Wildcat,12/21/1986 00:00:00,31-Dec-1986,1/3/1987 00:00:00,0.0,659.7,1783.5,0.0
35,00/05-08-069-05W6/0,Non Confidential,GPD NOEL AMOCO GOLD CK 5-8-69-5,,,New Pool Wildcat,9/27/1970 00:00:00,03-Nov-1970,,0.0,660.2,3840.8,0.0
36,00/02-36-080-10W5/0,Non Confidential,BSRL NIPISI 2-36-80-10,0Y52,52.0,Development,11/1/1996 00:00:00,09-Nov-1996,11/12/1996 00:00:00,0.0,661.0,1768.0,0.0
37,00/10-20-080-07W5/0,Non Confidential,MLC ET AL NIPISI 10-20-80-7,0Y27,37.0,Development,1/24/1988 00:00:00,02-Feb-1988,2/5/1988 00:00:00,0.0,661.7,1698.0,0.0
38,00/08-09-073-21W5/0,Non Confidential,ENRON ET AL GUY 8-9-73-21,0Y27,28.0,New Fld Wildcat EGW,3/18/1987 00:00:00,06-Apr-1987,4/10/1987 00:00:00,0.0,661.7,2750.5,0.0
39,00/16-11-081-08W5/0,Non Confidential,ATLANTIC MUSKWA 16-11-81-8,,,New Field Wildcat,9/14/1965 00:00:00,08-Oct-1965,,0.0,662.3,1805.3,0.0
40,00/10-31-080-08W5/0,Non Confidential,LASMO NIPISI 10-31-80-8,,,Development,6/16/1966 00:00:00,29-Jun-1966,,0.0,662.6,1822.4,0.0
41,00/10-08-080-07W5/0,Non Confidential,KIN MERC NIPISI 1 NIPISI 10-8-80-7,0X43,1.0,Development,2/21/1988 00:00:00,02-Mar-1988,3/6/1988 00:00:00,,662.9,1710.0,
42,00/02-30-080-08W5/0,Non Confidential,MOBIL NIPISI 2-30-80-8,,,Development,3/12/1966 00:00:00,29-Mar-1966,,1742.5,663.5,1811.7,0.0
