,Formatted UWI,Gas Sample Date,Intrvl Base,Intrvl Top,Res Fluid C1c,Res Fluid C2c,Res Fluid C3c,Res Fluid C6c,Res Fluid C7+c,Res Fluid CO2c,Res Fluid H2c,Res Fluid H2Sc,Res Fluid HEc,Res Fluid IC4c,Res Fluid IC5c,Res Fluid N2c,Res Fluid NC4c,Res Fluid NC5c
0,00/06-20-078-23W5/0,10/2/1990 00:00:00,1163.0,1158.0,90.03,3.18,1.34,0.11,0.21,,,,0.46,0.23,0.12,3.79,0.41,0.12
1,00/06-20-078-23W5/0,6/20/1985 00:00:00,912.0,900.0,98.92,0.06,0.01,0.0,0.02,0.98,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2,00/06-20-078-23W5/0,6/16/1985 00:00:00,1127.0,1109.0,90.84,3.19,1.32,0.08,0.09,0.0,0.0,0.0,0.16,0.22,0.14,3.44,0.37,0.15
3,00/06-20-078-23W5/0,7/27/1990 00:00:00,1162.4,1154.6,88.83,3.27,1.36,0.09,0.17,0.01,0.0,0.0,0.42,0.22,0.11,5.02,0.39,0.11
4,00/06-20-078-23W5/0,7/26/1990 00:00:00,1162.4,1154.6,89.29,3.39,1.49,0.11,0.18,0.0,0.0,0.0,0.48,0.25,0.13,4.11,0.44,0.13
5,00/06-20-078-23W5/0,6/16/1985 00:00:00,1187.0,1169.0,93.51,3.36,1.4,0.01,0.09,0.0,0.0,0.0,0.57,0.23,0.12,0.19,0.41,0.11
6,00/06-20-078-23W5/0,6/15/1985 00:00:00,1168.0,1150.0,92.29,3.62,1.44,0.0,0.14,0.0,0.0,0.0,0.84,0.21,0.7,0.0,0.34,0.42
7,00/06-20-078-23W5/0,6/17/1985 00:00:00,1233.0,1208.0,88.49,2.9,1.27,0.01,0.68,0.0,0.0,0.0,0.98,0.21,0.14,4.87,0.34,0.11
8,00/06-20-078-23W5/0,8/23/1999 00:00:00,1162.6,1159.6,89.92,3.19,1.38,0.1,0.12,0.01,0.01,,0.49,0.24,0.13,3.85,0.43,0.13
9,00/06-20-078-23W5/0,3/12/1999 00:00:00,1162.6,1159.6,90.04,2.96,1.32,0.1,0.12,,0.01,0.01,0.49,0.24,0.13,4.05,0.41,0.12
10,00/06-20-078-23W5/0,6/21/1985 00:00:00,1919.0,1887.0,70.84,4.91,2.43,0.05,1.37,0.17,0.32,0.0,1.2,0.25,0.06,17.97,0.4,0.03
11,00/07-09-076-18W5/0,2/24/1982 00:00:00,971.7,935.0,95.55,2.29,0.34,0.0,0.0,0.0,0.22,0.0,0.01,0.04,0.0,1.53,0.02,0.0
12,00/09-33-080-09W5/0,3/16/1986 00:00:00,1701.5,1693.0,63.85,6.93,2.54,0.07,0.03,0.3,0.06,0.0,0.34,0.25,0.07,24.96,0.52,0.08
13,00/09-33-080-09W5/0,3/16/1986 00:00:00,1701.5,1693.0,54.67,19.05,12.87,0.38,0.22,0.09,0.52,0.0,0.04,1.71,0.87,4.48,4.16,0.94
14,00/10-14-081-09W5/0,7/27/1977 00:00:00,1784.6,1747.4,52.82,10.44,9.26,0.35,0.55,,,,,1.14,0.52,21.71,2.67,0.54
15,00/10-14-081-09W5/0,8/12/1977 00:00:00,1747.38,1747.38,52.82,10.44,9.26,0.35,0.55,0.0,0.0,0.0,0.0,1.14,0.52,21.71,2.67,0.54
16,00/10-14-081-09W5/0,8/2/1977 00:00:00,649.22,643.13,55.41,9.38,9.62,1.13,1.25,1.67,0.01,0.0,0.07,1.73,1.22,12.65,4.42,1.44
17,00/03-15-080-09W5/0,7/22/1999 00:00:00,1721.5,1717.3,65.87,14.09,6.23,0.13,0.12,0.12,,,0.13,0.65,0.22,11.0,1.22,0.22
18,00/03-15-080-09W5/0,11/6/1989 00:00:00,1731.0,1715.0,57.36,17.71,10.72,0.39,0.37,0.04,0.0,0.0,0.06,1.35,0.6,7.87,2.9,0.63
19,00/03-15-080-09W5/0,1/13/1990 00:00:00,1721.5,1717.3,66.88,11.18,4.82,0.09,0.04,0.0,0.01,0.0,0.13,0.52,0.21,14.9,1.03,0.19
20,00/10-30-080-09W5/0,1/14/1992 00:00:00,1701.0,1691.0,65.99,12.38,7.02,0.07,0.02,0.03,0.0,0.0,0.12,0.8,0.29,11.54,1.52,0.22
