,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,UWI,ELEV_M,Lat,Long,TVDMKB,TVDMSS,DST_TVDMSS,DST_TempC,BinDepth,TT_TVDMSS,TrueTemp,Set,SLOG_TVDFT,SLOG_TEMPC,fmtn,SLOG_TVDM,TrueTempGrad_CpM,SLOG_TempGrad_CpM,CLS_TrueTempGrad_CpM,DST_TempGrad_CpM,CLS_DEPTH_M,CLS_GAMMA,CLS_MUDTEMPC,CLS_RESISTIVITY,CLS_POROSITY,Krig_CLS_GAMMA,Krig_CLS_MUDTEMPC,Krig_CLS_RESISTIVITY,Krig_CLS_POROSITY,Krig_CLS_TrueTempGrad_CpM,Krig_EX_TrueTemp,Krig_EX_TrueTempGrad_CpM,Krig_CLS_CumOil_bbl,Krig_CLS_CumGas_mcf,Krig_CLS_CumWater_bbl,Krig_CLS_OGR_bblmmcf,CLS_TrueTemp,log_CLS_TrueTempGrad_CpM,log_TVDMSS,EX_TrueTemp,Cluster
0,0,0,0,100072507623W500,555.7,55.61364,-117.4238,2545.0799185574424,1989.3799185574424,1945.8,81.0,"(1980, 2000]",,,Training,,,DVN,,,,,0.0416281221091581,1987.5992063492065,12.218973015873011,17.0,776.7426801587303,0.1941811475409835,10.58728488919613,27.504750730494283,522.9862113464558,0.086734569264878,0.0859533422500773,57.853255393510025,0.0280595137689608,418357.83100748586,-11472411.122210318,150906.6014956337,-10.799136131035144,,,3.298717729719255,82.04,Cluster 2
1,1,1,1,100062007823W500,560.9,55.770872,-117.537674,2429.8655222443035,1868.965522244304,1317.1,18.0,"(1860, 1880]",1880.0,81.25,Training,,,DVN,,0.0432180851063829,,0.0432180851063829,0.0488248029824474,1850.0,15.53715,22.0,259.0,0.0252,6.050814648697791,24.101455804058368,606.9779079393212,0.0935634824493729,0.0900355772045969,53.91974695064474,0.0263334599402874,354543.8881017593,-12203699.2541871,-183957.1555449415,-13.29271240646167,81.25,-1.3643344796127688,3.271601289801968,66.22,Cluster 1
2,2,2,2,100052107723W500,558.4,55.683723,-117.516168,2514.904719523049,1956.504719523049,604.6,37.7,"(1940, 1960]",,,Validation_Testing,,,DVN,,,,,0.0623552762156797,1950.0,15.6084,18.0,26.9976,0.0278,8.640753809589999,25.68436255330371,576.2248287060048,0.0881250522921086,0.0869404293184615,56.21951878976533,0.026929574800024,381561.72587163234,-12069057.052689672,-42856.22276678092,-12.027195929574658,,,3.291480899852516,,Cluster 1
3,3,3,3,100061307518W500,631.4,55.4946,-116.653606,2410.9679228490263,1779.5679228490262,240.1,35.5,"(1760, 1780]",,,Training,,,DVN,,,,,0.0488248029824474,1800.0,10.45145,13.3,90.5906,0.0033,14.168192765976846,33.93228693191105,251.43498800555764,0.1019489000940538,0.0893507973666197,62.21339368814605,0.0373258147110005,511085.24578178674,-7839434.710130951,846496.525185403,0.4971741749084309,,,3.250314568881347,42.39,Cluster 2
4,4,4,4,100070907618W500,627.0,55.566965,-116.726243,2407.005522975823,1780.0055229758232,344.0,31.0,"(1780, 1800]",,,Training,,,DVN,,,,,0.0901162790697674,1800.0,14.59905,25.5,27.0932,0.096,12.305536871627549,32.78730526406242,277.0236502176136,0.1055549999036066,0.0917558777394221,60.34410809681114,0.0363280215503915,502598.26015427336,-8245640.8839841215,753325.4537488432,-2.155196040258577,,,3.2504213498337267,46.39,Cluster 2
5,5,5,5,100110407421W500,638.7,55.382733,-117.168626,2639.872715524073,2001.172715524073,452.80000000000007,40.1,"(2000, 2020]",2020.0,91.05,Training,,,DVN,,0.0450742574257425,,0.0450742574257425,0.088560070671378,2000.0,14.253,25.0,54.90935,0.3525,16.712717618055663,32.54105856585371,384.17640178615983,0.0799991387804469,0.0794628341863045,63.536596559142566,0.0315005334898844,498297.6432213191,-9099906.507915854,661240.2352965638,-5.409562804872784,91.05,-1.3460714193156855,3.301284572975056,50.72,Cluster 2
6,6,6,6,100071906101W500,640.2,54.289952,-114.133423,2250.033527998927,1609.8335279989271,386.8,17.1,"(1600, 1620]",1620.0,87.08,Training,,,DVN,,0.053753086419753,,0.053753086419753,0.0442088934850051,1600.0,94.1102,7.2,3.91155,0.0814,45.45191710093267,33.47848119858576,21.550296601804813,0.128039886383197,0.0652367593875135,54.58373069356868,0.0416448531145431,38878.39646800724,-4211011.5042171655,-142212.91006358335,22.20832869072227,87.08,-1.269596594173575,3.206780968199881,45.33,Cluster 3
7,7,7,7,100153208009W500,642.8,55.982031,-115.366771,1755.038343838773,1112.238343838773,1112.2000000000005,50.0,"(1100, 1120]",,,Training,,,DVN,,,,,0.0449559431756878,1100.0,20.3058,16.0,112.2837,0.1958,22.503790965668387,28.59078033384285,45.92901484321814,0.1963890500770834,0.0637569184090069,61.43395556613044,0.0548094511515384,196628.7314150844,419577.3391016718,182122.3563838692,1.510114527905944,,,3.0461978630754865,66.44,Cluster 1
8,8,8,8,100102107026W500,638.5,55.077833,-117.902413,3194.913497762768,2556.413497762768,2556.5,81.0,"(2540, 2560]",2560.0,103.91,Training,,,DVN,,0.04058984375,,0.04058984375,0.0316839428906708,2550.0,13.149500000000002,21.0,1543.12235,0.0133,27.277438390127298,30.10924408695216,529.0640745968968,0.0494532759007248,0.0313401356288235,73.4511187444148,0.0270517199111809,295676.0841861824,-7729239.146430593,15873.323662803072,-7.527013546734025,103.91,-1.3915826204896475,3.407631101940363,103.68,Cluster 0
9,9,9,9,100093308009W500,645.1,55.980543,-115.335548,1805.0255422391824,1159.9255422391825,1056.4,50.0,"(1140, 1160]",,,Validation_Testing,,,DVN,,,,,0.0473305566073457,1150.0,16.079749999999997,15.0,97.0085,0.13215,23.217171452406483,28.5141782708304,43.62011459894454,0.1973809692310813,0.062639123619845,61.618899559293006,0.0551455210881368,189850.82392502791,617334.3377529138,168792.0917673067,1.5741234651088296,,,3.0644301119575146,,Cluster 1
10,10,10,10,100010608109W500,645.6,55.987511,-115.390554,1744.9799441606417,1099.3799441606416,1048.4,34.26,"(1080, 1100]",1100.0,66.22,Training,,,DVN,,0.0602,,0.0602,0.0326783670354826,1100.0,8.6191,20.0,22.0114,0.4810999999999999,21.799099341630985,28.66365493698789,48.38628434268452,0.1953847634701372,0.0648709616730283,61.24287796344472,0.054466798062285,203396.00276578107,223647.37230161697,195213.55978519423,1.42918033419904,66.22,-1.2204035087421754,3.0411478099265903,63.98,Cluster 1
11,11,11,11,100101408109W502,646.8,56.025078,-115.287948,1815.083941917314,1168.283941917314,-118.89999999999998,31.11,"(1160, 1180]",,,Validation_Testing,,,DVN,,,,,0.0488248029824474,,,,,,23.89005415823848,27.950590524291663,43.80332860299169,0.2033803106381321,0.0600490958863103,61.42222928350824,0.0558450935085672,169341.4433240324,1263826.5049301942,116425.0537160942,0.2007384041064095,,,3.067548407349475,,Cluster 1
12,12,12,12,100053408009W500,647.9,55.975768,-115.326138,1800.1487423952403,1152.2487423952402,1107.1,44.0,"(1140, 1160]",,,Training,,,DVN,,,,,0.0397434739409267,1150.0,29.2992,19.0,32.38995,0.1231499999999999,23.591826307939304,28.595465538705547,42.021520515644994,0.1966155002635274,0.0624344717830396,61.80437348224622,0.0552179887202405,189867.11288136087,606404.5573668403,171795.37411399122,1.950246887969484,,,3.061546242792561,66.18,Cluster 1
13,13,13,13,100040907910W500,648.0,55.828932,-115.509732,1865.071140317724,1217.0711403177236,1217.0,57.0,"(1200, 1220]",,,Training,,,DVN,,,,,0.0468364831552999,1200.0,18.5252,14.4,26.2871,0.1657499999999999,21.610648858783723,30.674099866925875,48.03593309033623,0.1741667106655973,0.0708299503267887,62.71935071861041,0.0526283893069119,263782.481248381,-1631438.4765529702,368333.76878499193,6.580610992566475,,,3.085315964379981,68.46,Cluster 1
14,14,14,14,100041708009W500,649.5,55.929848,-115.38127,1738.8839443557138,1089.3839443557138,1089.6,64.44,"(1080, 1100]",1100.0,66.17,Training,,,DVN,,0.0601545454545454,,0.0601545454545454,0.0591409691629956,1089.6599651308811,8.364075,47.22222222222222,76.62535000000001,,22.86158534241332,29.29303620277657,42.79813784210381,0.189158422476457,0.0654208684758711,62.08651839718982,0.0543630993907542,214745.6666912913,-166522.57038498332,236845.0610253861,3.5945064939689906,66.17,-1.22073155051463,3.037180970231128,65.12,Cluster 1
15,15,15,15,100042808108W500,649.5,56.045605,-115.197409,1808.9879421123856,1159.4879421123858,1028.4,44.44,"(1140, 1160]",,,Validation_Testing,,,DVN,,,,,0.0432127576818358,1165.859962692481,36.8707,54.22222222222222,16.08635,,25.888028703688228,27.48620041041416,40.67864030058789,0.2083287343970009,0.056229067892884,61.71390178805362,0.0568793271735198,144807.539738009,2037019.0942244749,61744.01438609898,-0.5235823226730346,,,3.0642662366296483,,Cluster 1
16,16,16,16,100061408009W500,649.9,55.931252,-115.296105,1769.9735433608466,1120.0735433608463,1081.1,42.0,"(1120, 1140]",1140.0,67.47,Training,,,DVN,,0.0591842105263157,,0.0591842105263157,0.0388493201368976,1100.0,20.4651,17.0,46.0611,0.3471,24.83610646921992,28.93622896392192,36.600639029390905,0.1932585050893527,0.061985169214819,62.45812659849421,0.0553785699529159,191807.82579574952,499568.6905140962,187027.8131521983,3.419517599052001,67.47,-1.2277941411811786,3.049246539123048,64.85,Cluster 1
17,17,17,17,100102708009W500,650.1,55.964782,-115.316503,1722.1199448921618,1072.0199448921617,-89.89999999999998,34.44,"(1060, 1080]",,,Validation_Testing,,,DVN,,,,,0.0488248029824474,1059.1799661062412,14.190575,45.22222222222222,43.6065,,23.964992069915688,28.67534621735615,40.45124559935763,0.195853227485157,0.0622299589531442,61.98625170744729,0.0552880228159437,189839.95572723387,595849.3498660809,174638.21788139935,2.323914205265472,,,3.030202865464988,,Cluster 1
18,18,18,18,100011206021W400,651.6,54.167402,-113.002616,1491.9959522561296,840.3959522561296,173.39999999999998,29.0,"(840, 860]",860.0,64.4,Training,,,DVN,,0.0748837209302325,,0.0748837209302325,0.0488248029824474,850.0,23.638,15.0,33.1708,0.01245,54.347235956694206,31.131978602932342,-37.04647618215324,0.1381960918407652,0.0627955023825544,39.03954886536279,0.0405143952347059,3106.1200319995205,3616572.546398229,-244338.04900777256,-8.215603440529081,64.4,-1.1256125838837558,2.924483951971587,39.07,Cluster 3
19,19,19,19,100060608108W500,651.1,55.992419,-115.246278,1784.9087428829205,1133.8087428829203,1098.9,45.0,"(1120, 1140]",,,Training,,,DVN,,,,,0.0409500409500409,1150.0,13.0994,20.0,126.4775,,25.2769767317755,28.158017248735423,38.481009911529455,0.2013618315897832,0.059087738834246,62.01801908957837,0.0561547862316264,167282.64786124125,1299774.069693224,120392.23932025045,1.3025622446702243,,,3.054539801544675,67.53,Cluster 1
20,20,20,20,100031508009W500,651.2,55.928945,-115.325226,1815.998341888053,1164.798341888053,1137.8,44.0,"(1160, 1180]",,,Validation_Testing,,,DVN,,,,,0.0386711197046932,1150.0,23.29785,20.0,101.6289,0.1068,24.255225058616706,29.128741322060662,38.00802988821533,0.1911851144573006,0.0632413762072568,62.41945115042758,0.055018183399708,200875.4365823632,224947.2013767659,208606.5924754675,3.732307366403111,,,3.066250743743188,,Cluster 1
21,21,21,21,100103008009W500,651.4,55.965689,-115.393173,1719.986344960437,1068.5863449604371,1049.6,47.0,"(1060, 1080]",1080.0,64.98,Training,,,DVN,,0.0601666666666666,,0.0601666666666666,0.0447789634146341,1050.0,14.8079,19.0,87.817,0.52115,22.07989671514572,28.883462973155897,46.730741388468935,0.1931854544895055,0.0651852401292823,61.507652944120544,0.0543974602294061,208052.2061799844,70574.18319321572,210813.6472723447,2.1440031294021944,64.98,-1.220644048477986,3.028809620206028,64.21,Cluster 1
22,22,22,22,100092508109W500,651.9,56.050945,-115.255809,1766.925543458383,1115.0255434583828,1078.1,45.6,"(1100, 1120]",,,Validation_Testing,,,DVN,,,,,0.0422966329654021,1100.0,31.7858,20.0,43.6239,,24.23288392523201,27.548114189526533,44.958012528746806,0.2076110398192114,0.0583329084081056,61.23698420337811,0.0562830981409049,155607.95106760124,1704379.9710737064,80844.4290401696,-0.8693974683288,,,3.0472848164926614,,Cluster 1
