,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,UWI,BHT,TrueTemp,Depth_SS(m),Field,TD (ft),Well_Id,Basin,TD_0,TD_1,TD_2,TD_3,TD_4,TD_5,TD_6,TD_7,TD_8,TD_9,TD_10,TD_11,TD_12,KB_0,KB_1,KB_2,KB_3,KB_4,KB_5,KB_6,KB_7,KB_8,KB_9,KB_10,KB_11,KB_12,Mud Wt_0,Mud Wt_1,Mud Wt_2,Mud Wt_3,Mud Wt_4,Mud Wt_5,Mud Wt_6,Mud Wt_7,Mud Wt_8,Mud Wt_9,Mud Wt_10,Mud Wt_11,Mud Wt_12,MW@Depth(KB)_0,MW@Depth(KB)_1,MW@Depth(KB)_2,MW@Depth(KB)_3,MW@Depth(KB)_4,MW@Depth(KB)_5,MW@Depth(KB)_6,MW@Depth(KB)_7,MW@Depth(KB)_8,MW@Depth(KB)_9,MW@Depth(KB)_10,MW@Depth(KB)_11,MW@Depth(KB)_12,Bottom_Hole_Location_X_0,Bottom_Hole_Location_Y_0,Elevation(f)_0,Elevation_Reference_0,Latitude_0,Longitude_0,Total_Depth(f)_0,X(f)_0,Y(f)_0,01_Wilcox_MD_ft_0,02_Midway_MD_ft_0,03_Navarro_MD_ft_0,04_Taylor_MD_ft_0,05_Anacacho_MD_ft_0,06_Austin_Chalk_MD_ft_0,07_Upper_Eagle_Ford_MD_ft_0,08_Lower_Eagle_Ford_MD_ft_0,09_Woodbine_MD_ft_0,10_Maness_MD_ft_0,11_Buda_MD_ft_0,12_Del_Rio_MD_ft_0,13_Georgetown_MD_ft_0,14_Edwards_MD_ft_0,15_Glen_Rose_MD_ft_0,16_Pearsal_MD_ft_0,17_James_Cow_Creek_MD_ft_0,18_Sligo_MD_ft_0,19_Cotton_Valley_MD_ft_0,td_0,Elevation_0,ElevationDatum_0,WGS84Latitude_0,WGS84Longitude_0,SurfLat_0,SurfLong_0,SurfaceLatitude_NAD83_0,SurfaceLongitude_NAD83_0,BottomLatitude_NAD83_0,BottomLongitude_NAD83_0,SurfaceLatitude_NAD27_0,SurfaceLongitude_NAD27_0,BottomLatitude_NAD27_0,BottomLongitude_NAD27_0,Measured Depth (ft)_0,Measured Depth (ft)_1,Measured Depth (ft)_2,Measured Depth (ft)_3,Total Vertical Depth (ft)_0,Total Vertical Depth (ft)_1,Total Vertical Depth (ft)_2,Total Vertical Depth (ft)_3,Spud Date_0,Spud Date_1,Spud Date_2,Spud Date_3,Completion Date_0,Completion Date_1,Completion Date_2,Completion Date_3,First Production Month_0,First Production Month_1,First Production Month_2,First Production Month_3,Elevation_0.1,Elevation_1,Elevation_2,Elevation_3,Oil Total Cum (bbl)_0,Oil Total Cum (bbl)_1,Oil Total Cum (bbl)_2,Oil Total Cum (bbl)_3,Gas Total Cum (mcf)_0,Gas Total Cum (mcf)_1,Gas Total Cum (mcf)_2,Gas Total Cum (mcf)_3,Water Total Cum (bbl)_0,Water Total Cum (bbl)_1,Water Total Cum (bbl)_2,Water Total Cum (bbl)_3,GOR Total Average_0,GOR Total Average_1,GOR Total Average_2,GOR Total Average_3,Plug Date_0,Plug Date_1,Plug Date_2,Plug Date_3,TD Date_0,TD Date_1,TD Date_2,TD Date_3,Drilling Days_0,Drilling Days_1,Drilling Days_2,Drilling Days_3,Last Production Month_0,Last Production Month_1,Last Production Month_2,Last Production Month_3,Gas Maximum (mcf)_0,Gas Maximum (mcf)_1,Gas Maximum (mcf)_2,Gas Maximum (mcf)_3,Gas Maximum Date_0,Gas Maximum Date_1,Gas Maximum Date_2,Gas Maximum Date_3,Oil Maximum (bbl)_0,Oil Maximum (bbl)_1,Oil Maximum (bbl)_2,Oil Maximum (bbl)_3,Oil Maximum Date_0,Oil Maximum Date_1,Oil Maximum Date_2,Oil Maximum Date_3,Water Maximum (bbl)_0,Water Maximum (bbl)_1,Water Maximum (bbl)_2,Water Maximum (bbl)_3,Water Maximum Date_0,Water Maximum Date_1,Water Maximum Date_2,Water Maximum Date_3,Liquid Injection Cum (bbl)_0,Liquid Injection Cum (bbl)_1,Liquid Injection Cum (bbl)_2,Liquid Injection Cum (bbl)_3,Gas Injection Cum (mcf)_0,Gas Injection Cum (mcf)_1,Gas Injection Cum (mcf)_2,Gas Injection Cum (mcf)_3,Bottom Hole Location X_m_NAD27_Zone 11N (120 W to 114 W)_0,Bottom Hole Location Y_m_NAD27_Zone 11N (120 W to 114 W)_0,Elevation(m above sea level)_0,01_Battle (Surbiton)[SSTVD] (m)_0,02_Lea_Park (Surbiton)[SSTVD] (m)_0,03_1st_White_Speckled_Shale (Surbiton)[SSTVD] (m)_0,04_2nd_White_Speckled_Shale (Surbiton)[SSTVD] (m)_0,05_Fish_scales (Surbiton)[SSTVD] (m)_0,06_Mannville_Top (Surbiton)[SSTVD] (m)_0,07_Ostracod_Beds (Surbiton)[SSTVD] (m)_0,08_Jurassic_Top (Surbiton)[SSTVD] (m)_0,09_Montney_Top (Surbiton)[SSTVD] (m)_0,10_Permian_Top (Surbiton)[SSTVD] (m)_0,11_Wabamun (Surbiton)[SSTVD] (m)_0,12_Winterburn (Surbiton)[SSTVD] (m)_0,13_Woodbend (Surbiton)[SSTVD] (m)_0,14_Duvernay_Top (Surbiton)[SSTVD] (m)_0,15_Beaverhill (Surbiton)[SSTVD] (m)_0,16_Elk_Point (Surbiton)[SSTVD] (m)_0,17_Precambrian Basement (Surbiton)[SSTVD] (m)_0,Elevation Meters_0,ElevationDatum_0.1,TD meters_0,SurfaceLatitude_NAD83_0.1,SurfaceLongitude_NAD83_0.1,BottomLatitude_NAD83_0.1,BottomLongitude_NAD83_0.1,SurfaceLatitude_NAD27_0.1,SurfaceLongitude_NAD27_0.1,BottomLatitude_NAD27_0.1,BottomLongitude_NAD27_0.1,Measured Depth (ft)_0.1,Total Vertical Depth (ft)_0.1,Spud Date_0.1,Completion Date_0.1,First Production Month_0.1,Elevation_0.2,Oil Total Cum (bbl)_0.1,Gas Total Cum (mcf)_0.1,Water Total Cum (bbl)_0.1,GOR Total Average_0.1,Plug Date_0.1,First Production Date_0,Elevation Drill Floor (ft)_0,Elevation Ground (ft)_0,Elevation Kelly Bushing (ft)_0,Last Production Month_0.1,Gas Maximum (mcf)_0.1,Gas Maximum Date_0.1,Oil Maximum (bbl)_0.1,Oil Maximum Date_0.1,Water Maximum (bbl)_0.1,Water Maximum Date_0.1,Yield Total Average_0,Unnamed: 0_y,Unnamed: 1,1200.0_GRWS,1500.0_GRWS,1800.0_GRWS,2100.0_GRWS,2400.0_GRWS,2700.0_GRWS,3000.0_GRWS,3300.0_GRWS,3600.0_GRWS,3900.0_GRWS,4200.0_GRWS,4500.0_GRWS,4800.0_GRWS,5100.0_GRWS,5400.0_GRWS,5700.0_GRWS,6000.0_GRWS,6300.0_GRWS,6600.0_GRWS,6900.0_GRWS,7200.0_GRWS,7500.0_GRWS,7800.0_GRWS,8100.0_GRWS,8400.0_GRWS,8700.0_GRWS,9000.0_GRWS,WellName,LogType,300.0_GRWS,600.0_GRWS,900.0_GRWS,9300.0_GRWS,9600.0_GRWS,9900.0_GRWS,10200.0_GRWS,10500.0_GRWS,10800.0_GRWS,11100.0_GRWS,11400.0_GRWS,11700.0_GRWS,12000.0_GRWS,12300.0_GRWS,12600.0_GRWS,12900.0_GRWS,13200.0_GRWS,13500.0_GRWS,13800.0_GRWS,14100.0_GRWS,14400.0_GRWS,14700.0_GRWS,15000.0_GRWS,15300.0_GRWS,15600.0_GRWS,15900.0_GRWS,16200.0_GRWS,16500.0_GRWS,16800.0_GRWS,17100.0_GRWS,17400.0_GRWS,17700.0_GRWS,18000.0_GRWS,18300.0_GRWS,18600.0_GRWS,18900.0_GRWS,19200.0_GRWS,19500.0_GRWS,19800.0_GRWS,20100.0_GRWS,20400.0_GRWS,20700.0_GRWS,21000.0_GRWS,21300.0_GRWS,21600.0_GRWS,21900.0_GRWS,22200.0_GRWS,22500.0_GRWS,22800.0_GRWS,23100.0_GRWS,23400.0_GRWS,23700.0_GRWS,24000.0_GRWS,Set,CLS_Lat,CLS_Long,CLS_Depth_ft,fmtn,Krig_Temp
0,0,0,0,100010107020W500,48.33,60.97,716.0,Duvernay,,100010107020W500,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506245.6,6097691.89,701.0,,,189.5,-3.4,-214.0,-307.0,-607.7,-627.3,-713.3,,-1271.1,-1508.8,-1605.1,-1900.5,-1937.3,-2044.3,,701.093481,KB,2767.6748,55.027981,-116.903553,55.027981,-116.903553,55.027981,-116.903553,55.027981,-116.903553,9081.0,9081.0,1971-03-11,,,2287 GL,,,,,,,,2287.0,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training,55.027981,-116.903553,9081.0,DVN,69.00438034554308
1,1,1,1,100010608109W500,34.26,63.98,1044.4,Duvernay,,100010608109W500,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600487.16,6205637.53,645.6,,,,,390.3,342.5,,,,,-206.4,-483.9,-604.7,-842.77,-895.4,-1042.5,-1078.4,645.6,KB,1745.0,55.987511,-115.390554,55.987511,-115.390554,55.987511,-115.390554,55.987511,-115.390554,5725.0,5725.0,1992-02-03,1993-01-18,1992-05-01,2103 GL,3422.286,2722.761,390.597,795.597,,1992-05-22,,2103.0,2119.0,1992-08-01,1084.16,1992-07-01,1639.125,1992-05-01,351.6,1992-05-01,1256.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training,55.987511,-115.390554,5725.0,DVN,63.11168126029353
2,2,2,2,100010904012W500,104.4,,2424.2,Duvernay,,100010904012W500,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591372.37,5808846.49,1283.8,,-1081.79,-1265.89,-1741.2,-1984.7,-2034.7,-2231.2,-2335.2,,,-2735.2,-3011.2,-3082.2,-3293.2,-3340.2,-3504.7,,1283.8,KB,4817.0,52.42418,-115.657433,52.42418,-115.657433,52.42418,-115.657433,52.42418,-115.657433,15797.0,15797.0,1983-12-29,,,4186 GL,,,,,,,,4186.0,4213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.42418,-115.657433,15797.0,DVN,94.7084315454112
3,3,3,3,100011206021W400,29.0,39.07,171.89999999999998,Duvernay,,100011206021W400,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760983.75,6009309.66,651.6,,464.0,323.3,190.1,91.1,35.6,-125.1,,,,,-168.4,-246.4,-422.4,-579.4,-811.4,,651.6,KB,1492.6,54.167413,-113.002674,54.167402,-113.002616,54.167413,-113.002674,54.167402,-113.002616,4895.0,4895.0,1980-11-03,,,2123 GL,,,,,,,,2123.0,2139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training,54.167413,-113.002674,4895.0,DVN,41.82950816624606
4,4,4,4,100011506915W500,64.0,69.47,936.4,Duvernay,,100011506915W500,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552047.78,6091428.82,873.1,,293.98,223.1,,-129.94,-213.7,-461.9,,,,-919.8,-1164.7,-1279.7,-1557.3,-1602.2,-1744.9,,873.1,KB,2710.0,54.969037,-116.188158,54.969037,-116.188158,54.969037,-116.188158,54.969037,-116.188158,8891.0,8891.0,1984-02-21,,,2844 GL,,,,,,,,2844.0,2864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training,54.969037,-116.188158,8891.0,DVN,73.29382287393516
5,5,5,5,100011804403W500,68.0,75.23,1065.6,Duvernay,,100011804403W500,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674348.88,5851523.7,946.9,618.6,-247.1,-374.6,-644.6,-786.21,-860.8,,,,,-1220.8,-1445.6,-1509.1,-1763.1,-1820.2,,,946.9,KB,2792.0,52.787328,-114.415621,52.787328,-114.415621,52.787328,-114.415621,52.787328,-114.415621,9160.0,9160.0,1985-03-20,,,3091 GL,,,,,,,,3091.0,3107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training,52.787328,-114.415621,9160.0,DVN,62.87582996568968
6,6,6,6,100011806718W500,93.2,94.51,2020.1,Duvernay,,100011806718W500,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517881.36,6071671.55,756.4,,136.6,58.3,-173.3,-420.5,-476.6,-726.5,-769.3,-840.7,,-1304.0,-1537.0,-1680.6,-1934.3,-1987.4,-2096.8,,756.4,KB,2882.6,54.793867,-116.723113,54.793867,-116.723113,54.793867,-116.723113,54.793867,-116.723113,9452.0,9452.0,1995-02-03,,,2467 GL,,,,,,,,2467.0,2480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training,54.793867,-116.723113,9452.0,DVN,79.2488298577275
7,7,7,7,100012306427W500,48.0,67.75,836.8,Duvernay,,100012306427W500,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437764.0,6044653.83,960.2,,,-247.6,-632.0,-948.0,-1049.6,-1357.5,-1476.6,-1552.2,-1729.8,-2256.1,-2478.0,-2698.9,-2875.8,-2895.7,-2994.5,,960.2,KB,4000.0,54.547552,-117.96334,54.547552,-117.96334,54.547552,-117.96334,54.547552,-117.96334,13123.0,13123.0,1995-03-02,2018-07-18,1995-06-01,3127 GL,30698.05,71363.879,6.919,2324.704,,1995-08-02,,3127.0,3150.0,1995-10-01,47869.031,1995-08-01,20140.603,1995-08-01,5.032,1995-10-01,430.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training,54.547552,-117.96334,13123.0,DVN,82.9414419014466
8,8,8,8,100012404516W502,93.33,,2333.1,Duvernay,,100012404516W502,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555037.49,5860095.41,1282.0,,-1049.1,-1191.5,-1610.6,-1870.56,-1926.4,,-2257.4,,,-2631.4,,-2982.8,-3192.2,-3231.8,-3430.3,,1282.1375435000002,KB,4922.681500000001,52.889725,-116.183134,52.889725,-116.183134,52.889725,-116.183134,52.889725,-116.183134,16152.0,16152.0,1975-11-01,1984-09-20,,4186 GL,,,,,,,,4186.0,4206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validation_Testing,52.889725,-116.183134,16152.0,DVN,98.01772668991116
9,9,9,9,100012706026W400,23.89,43.77,300.9999999999999,Duvernay,,100012706026W400,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708487.55,6011633.98,650.1,,387.2,225.8,66.4,-64.8,-112.5,-291.1,,,,-343.5,-499.9,-640.43,-849.32,-918.4,-1113.2,-1638.0,650.037806,KB,2291.86639,54.212264,-113.803723,54.212264,-113.803723,54.212264,-113.803723,54.212264,-113.803723,7520.0,7520.0,1955-12-06,,,2119 GL,,,,,,,,2119.0,2133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training,54.212264,-113.803723,7520.0,DVN,51.27285130332683
